Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

DGND       TP_SMD_1_5mm          2480mil       2329mil       2480mil       2329mil       2480mil       2329mil  B        180.00 Comment        
R10        R0603                 1776mil        790mil       1776mil        790mil   1806.315mil        790mil  T        180.00 5.1K           
R6         R0603                 3366mil       1165mil       3366mil       1165mil       3366mil   1134.685mil  T         90.00 1k             
C2         C10*10.5mm            2617mil        992mil       2617mil        992mil    2452.63mil        992mil  T          0.00 470uF/16V      
C60        C0603                 2985mil       1185mil       2985mil       1185mil   3015.315mil       1185mil  T        180.00 0.01uF         
J3         RJ45LED            798.189mil        330mil    798.189mil        330mil    937.952mil    250.079mil  T        270.00 2-406549-1     
BingoBin_V bingo_logo       -7852.312mil  -4077.946mil       2308mil       1934mil  -7852.312mil  -4077.946mil  B        180.00 BingoBin_V1.0.10
C1         C0603                 3146mil       1019mil       3146mil       1019mil       3146mil    988.685mil  T         90.00 1uF            
C59        C0603                 3360mil       2868mil       3360mil       2868mil       3360mil   2837.685mil  T         90.00 0.1uF          
C3         C0603                 2123mil   2575.999mil       2123mil   2575.999mil   2144.436mil   2554.563mil  T        135.00 0.1uF          
C4         C0603             2805.003mil    2725.75mil   2805.003mil    2725.75mil   2835.318mil    2725.75mil  T        180.00 0.1uF          
C5         C0603                 2045mil       3265mil       2045mil       3265mil       2045mil   3295.315mil  T        270.00 0.1uF          
C6         C0603                 2616mil       2706mil       2616mil       2706mil       2616mil   2675.685mil  T         90.00 0.1uF          
C7         C0603                 1960mil       3265mil       1960mil       3265mil       1960mil   3295.315mil  T        270.00 0.1uF          
C8         C0603                 1679mil       3000mil       1679mil       3000mil       1679mil   2969.685mil  T         90.00 22pF           
C9         C0603             1679.291mil   2597.992mil   1679.291mil   2597.992mil   1679.291mil   2628.307mil  T        270.00 22pF           
C10        C0603             2865.003mil    3010.75mil   2865.003mil    3010.75mil   2895.318mil    3010.75mil  T        180.00 0.1uF          
